Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2000","2000","6199","Value","3044","FAO Model","1000 No","400751.46","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2001","2001","6199","Value","3044","FAO Model","1000 No","405570.47","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2002","2002","6199","Value","3044","FAO Model","1000 No","409278.4","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2003","2003","6199","Value","3044","FAO Model","1000 No","404100","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2004","2004","6199","Value","3044","FAO Model","1000 No","389499.72","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2005","2005","6199","Value","3044","FAO Model","1000 No","374758.19","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2006","2006","6199","Value","3044","FAO Model","1000 No","358903.83","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2007","2007","6199","Value","3044","FAO Model","1000 No","345984.25","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2008","2008","6199","Value","3044","FAO Model","1000 No","341002.33","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2009","2009","6199","Value","3044","FAO Model","1000 No","333784.87","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2010","2010","6199","Value","3044","FAO Model","1000 No","327305.29","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2011","2011","6199","Value","3044","FAO Model","1000 No","315810.51","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2012","2012","6199","Value","3044","FAO Model","1000 No","309547.49","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2013","2013","6199","Value","3044","FAO Model","1000 No","291373.6","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2014","2014","6199","Value","3044","FAO Model","1000 No","275518.01","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2015","2015","6199","Value","3044","FAO Model","1000 No","264781.68","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","258481.16","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","251148.16","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","243869.59","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","235755.37","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","226891","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21160","Total employment in agrifood systems (AFS)","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","219001.9","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2000","2000","6199","Value","3044","FAO Model","1000 No","39530.73","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2001","2001","6199","Value","3044","FAO Model","1000 No","40821.58","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2002","2002","6199","Value","3044","FAO Model","1000 No","42112.42","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2003","2003","6199","Value","3044","FAO Model","1000 No","41308.3","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2004","2004","6199","Value","3044","FAO Model","1000 No","40504.19","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2005","2005","6199","Value","3044","FAO Model","1000 No","39700.08","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2006","2006","6199","Value","3044","FAO Model","1000 No","38895.96","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2007","2007","6199","Value","3044","FAO Model","1000 No","38091.85","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2008","2008","6199","Value","3044","FAO Model","1000 No","41195.91","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2009","2009","6199","Value","3044","FAO Model","1000 No","44299.96","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2010","2010","6199","Value","3044","FAO Model","1000 No","47404.02","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2011","2011","6199","Value","3044","FAO Model","1000 No","50508.08","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2012","2012","6199","Value","3044","FAO Model","1000 No","53612.13","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2013","2013","6199","Value","3044","FAO Model","1000 No","52409.37","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2014","2014","6199","Value","3044","FAO Model","1000 No","51206.61","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2015","2015","6199","Value","3044","FAO Model","1000 No","50003.85","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","48801.08","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","47598.32","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","48115.16","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","48631.99","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","49148.83","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21163","Total non-agricultural AFS employment","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","47124.82","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2000","2000","6121","Value","3044","FAO Model","%","55.49","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2001","2001","6121","Value","3044","FAO Model","%","54.72","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2002","2002","6121","Value","3044","FAO Model","%","54.86","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2003","2003","6121","Value","3044","FAO Model","%","53.83","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2004","2004","6121","Value","3044","FAO Model","%","51.5","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2005","2005","6121","Value","3044","FAO Model","%","49.29","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2006","2006","6121","Value","3044","FAO Model","%","46.98","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2007","2007","6121","Value","3044","FAO Model","%","45.07","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2008","2008","6121","Value","3044","FAO Model","%","44.28","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2009","2009","6121","Value","3044","FAO Model","%","43.2","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","42.2","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","40.65","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","159","China","21161","Share of AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","39.8","E","Estimated value",""
