Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1980","1980","million USD","91538.491869","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1980","1980","%","29.897986","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1981","1981","million USD","91485.003345","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1981","1981","%","31.593663","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1982","1982","million USD","93910.746172","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1982","1982","%","33.075892","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1983","1983","million USD","100132.866025","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1983","1983","%","32.857214","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1984","1984","million USD","99825.793377","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1984","1984","%","31.819743","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1985","1985","million USD","87320.338596","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1985","1985","%","28.182528","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1986","1986","million USD","80763.633294","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1986","1986","%","26.874964","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1987","1987","million USD","86856.881868","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1987","1987","%","26.554466","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1988","1988","million USD","103844.603853","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1988","1988","%","25.46178","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1989","1989","million USD","113298.200804","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1989","1989","%","24.830469","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1990","1990","million USD","105824.368233","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1990","1990","%","26.820467","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1991","1991","million USD","100347.679346","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1991","1991","%","24.275184","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1992","1992","million USD","106375.963164","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1992","1992","%","21.571274","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1993","1993","million USD","120849.537556","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1993","1993","%","19.519695","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1994","1994","million USD","111061.443301","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1994","1994","%","19.680493","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1995","1995","million USD","145305.886227","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1995","1995","%","19.783371","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1996","1996","million USD","168563.928472","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1996","1996","%","19.515384","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1997","1997","million USD","174199.268581","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1997","1997","%","18.115537","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1998","1998","million USD","178964.543647","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1998","1998","%","17.391059","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1999","1999","million USD","178403.648114","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1999","1999","%","16.307401","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2000","2000","million USD","180510.871278","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2000","2000","%","14.90186","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2001","2001","million USD","190647.211845","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2001","2001","%","14.233771","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2002","2002","million USD","199779.931213","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2002","2002","%","13.585321","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2003","2003","million USD","209985.779935","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2003","2003","%","12.647611","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2004","2004","million USD","258707.856723","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2004","2004","%","13.230788","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2005","2005","million USD","273604.266372","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2005","2005","%","11.968887","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2006","2006","million USD","301501.046286","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2006","2006","%","10.955258","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2007","2007","million USD","376298.096656","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2007","2007","%","10.598981","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2008","2008","million USD","485014.725871","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2008","2008","%","10.556782","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2009","2009","million USD","515647.118153","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2009","2009","%","10.107369","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","million USD","598525.698583","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","%","9.832548","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","million USD","734864.724871","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","%","9.731319","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","million USD","829625.139178","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","%","9.723477","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","million USD","919558.136673","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","%","9.608289","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","million USD","935506.08855","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","%","8.930315","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","million USD","961103.313759","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","%","8.688668","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","million USD","939893.270819","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","%","8.367016","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","million USD","956685.057737","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","%","7.771299","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2018","2018","million USD","1021147.782384","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2018","2018","%","7.34908","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2019","2019","million USD","1065037.630275","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2019","2019","%","7.458263","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2020","2020","million USD","1179528.258551","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2020","2020","%","8.030698","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2021","2021","million USD","1348970.922799","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2021","2021","%","7.569788","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2022","2022","million USD","1374122.41862","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2022","2022","%","7.684482","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2023","2023","million USD","1333464.441317","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2023","2023","%","7.49357","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1980","1980","million USD","62412.577571","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1980","1980","%","33.369854","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1981","1981","million USD","64011.525973","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1981","1981","%","32.078926","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1982","1982","million USD","62474.804201","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1982","1982","%","30.566291","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1983","1983","million USD","70312.398069","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1983","1983","%","31.548602","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1984","1984","million USD","66614.491762","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1984","1984","%","30.013798","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1985","1985","million USD","65681.261207","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1985","1985","%","28.551767","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1986","1986","million USD","68749.087698","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1986","1986","%","27.232288","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1987","1987","million USD","74977.851994","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1987","1987","%","26.856044","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1988","1988","million USD","86228.262925","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1988","1988","%","27.949449","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1989","1989","million USD","82374.919036","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1989","1989","%","27.095782","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1990","1990","million USD","88951.802457","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1990","1990","%","27.025568","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1991","1991","million USD","79918.793424","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1991","1991","%","27.444606","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1992","1992","million USD","78355.714926","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1992","1992","%","26.679464","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1993","1993","million USD","77176.732074","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1993","1993","%","26.865216","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1994","1994","million USD","86420.929672","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1994","1994","%","26.386016","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1995","1995","million USD","90910.816143","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1995","1995","%","24.452674","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1996","1996","million USD","99530.98282","X","Figure from international organizations",""
