Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 No","1006458.644","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 No","512691.668","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 No","493766.976","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 No","810993.444","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 No","205754.823","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 No","1021447.36","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 No","520285.79","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 No","501161.57","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 No","814531.684","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 No","216741.822","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 No","1037723.314","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 No","528532.066","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1982","1982","1000 No","509191.247","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 No","817712.036","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 No","228199.645","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 No","1053593.19","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1983","1983","1000 No","536574.688","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1983","1983","1000 No","517018.502","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1983","1983","1000 No","822595.313","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1983","1983","1000 No","238557.736","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 No","1068752.936","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1984","1984","1000 No","544263.402","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1984","1984","1000 No","524489.534","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1984","1984","1000 No","828062.325","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1984","1984","1000 No","249540.591","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 No","1085063.906","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1985","1985","1000 No","552565.055","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1985","1985","1000 No","532498.851","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1985","1985","1000 No","834383.172","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1985","1985","1000 No","261231.513","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 No","1102793.689","X","Figure from international organizations",""
