Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1980","1980","ha","34482478","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1980","1980","kg/ha","4143.5","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1980","1980","t","142876522","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1981","1981","ha","33928110","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1981","1981","kg/ha","4331.5","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1981","1981","t","146959846","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1982","1982","ha","33697392","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1982","1982","kg/ha","4888.8","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1982","1982","t","164741383","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1983","1983","ha","33781824","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1983","1983","kg/ha","5091.8","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1983","1983","t","172008870","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1984","1984","ha","33765103","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1984","1984","kg/ha","5363.4","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1984","1984","t","181095752","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1985","1985","ha","32633684","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1985","1985","kg/ha","5249.8","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1985","1985","t","171318871","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1986","1986","ha","32797566","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1986","1986","kg/ha","5327.2","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1986","1986","t","174720521","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1987","1987","ha","32694296","A","Official figure",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1987","1987","kg/ha","5403.5","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1987","1987","t","176662482","A","Official figure",""
